parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
7541,171.0,,53000OKD3lrt2NANA
7542,165.0,,53000OKD3lrt2NANA
7549,109.0,,53000OKD7lrt2NANA
7554,105.0,,53000OKD7lrt2NANA
7573,166.0,,53000OKD3lrt2NANA
7595,171.0,,53000OKD3bart1NANA
7600,79.0,,53000OKD7brt1NANA
7626,80.0,,53000OKD7brt1NANA
7628,111.0,,53000OKD7bart1NANA
7632,90.0,,53000OKD7bart1NANA
7645,77.0,,53000OKD7brt1NANA
7717,89.0,,53000OKD7brt1NANA
7725,87.0,,53000OKD7brt1NANA
7731,90.0,,53000OKD7brt1NANA
7757,82.0,,53000OKD7bart1NANA
7775,78.0,,53000OKD7brt1NANA
7779,85.0,,53000OKD7brt1NANA
7800,106.0,,53000OKD7bart1NANA
7816,78.0,,53000OKD7bart1NANA
7829,81.0,,53000OKD7bart1NANA
7853,167.0,,53000OKD3bart1NANA
7854,166.0,,53000OKD3bart1NANA
7860,163.0,,53000OKD3bart1NANA
7862,168.0,,53000OKD3lrt2NANA
7870,179.0,,53000OKD3lrt2NANA
7883,115.0,,53000OKD1lrt2NANA
7901,111.0,,53000OKD1lrt2NANA
7932,275.0,,53000OKD3bart1NANA
7936,,9.4,53000OKD3bart1NANA
7945,104.0,,53000OKD7bart1NANA
7963,82.0,,53000OKD7bart1NANA
7976,84.0,,53000OKD7bart1NANA
7978,74.0,,53000OKD7bart1NANA
7995,81.0,,53000OKD7brt1NANA
7996,81.0,,53000OKD7brt1NANA
8010,79.0,,53000OKD7bart1NANA
8032,82.0,,53000OKD7brt1NANA
8049,105.0,,53000OKD6bart1NANA
8061,86.0,,53000OKD6bart1NANA
8074,69.0,,53000OKD6bart1NANA
8079,,9.4,53000OKD3lrt2NANA
8091,277.0,,53000OKD3bart1NANA
8101,,9.4,53000OKD3lrt2NANA
8102,168.0,,53000OKD3lrt2NANA
8105,276.0,,53000OKD3lrt2NANA
8111,274.0,,53000OKD3lrt2NANA
8121,112.0,,53000NAbrt3NANA
8144,,7.6,53000OKD3lrt2NANA
8166,106.0,,53000OKD1lrt2NANA
8170,108.0,,53000OKD1lrt2NANA
8183,107.0,,53000OKD1lrt2NANA
8185,106.0,,53000OKD1lrt2NANA
8195,105.0,,53000OKD1lrt2NANA
8211,105.0,,53000OKD1lrt2NANA
8222,111.0,,53000OKD1lrt2NANA
8243,105.0,,53000OKD1brt3NANA
8246,109.0,,53000OKD1brt3NANA
8262,106.0,,53000OKD1lrt2NANA
